epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1491.22,0.42298,0.29918,0.99217,0.013,0.96643,0.96632,0.98804,0.94943,0.30947,0.22613,0.97009,0.00995,0.0012872,0.0012872,0.0012872
38,1533.59,0.42439,0.30464,0.98917,0.01236,0.97799,0.95652,0.99089,0.95048,0.30448,0.22038,0.95939,0.0112,0.0012674,0.0012674,0.0012674
39,1576.04,0.42414,0.30244,0.99358,0.01253,0.97172,0.97483,0.99083,0.95215,0.30492,0.20546,0.96759,0.00794,0.0012476,0.0012476,0.0012476
40,1614.52,0.41844,0.29633,0.99293,0.01118,0.9648,0.97407,0.99038,0.95203,0.29699,0.20505,0.9672,0.00843,0.0012278,0.0012278,0.0012278
41,1650.81,0.4157,0.29595,0.98845,0.01139,0.97675,0.9612,0.99047,0.95424,0.2976,0.21022,0.95551,0.00954,0.001208,0.001208,0.001208
42,1686.81,0.421,0.29693,0.98773,0.01209,0.96817,0.97444,0.99057,0.95599,0.29869,0.20557,0.9615,0.0096,0.0011882,0.0011882,0.0011882
43,1724.03,0.41812,0.29694,0.98742,0.01276,0.95969,0.97407,0.99042,0.95073,0.30318,0.21961,0.96048,0.00921,0.0011684,0.0011684,0.0011684
44,1763.76,0.41429,0.28667,0.98725,0.01115,0.96823,0.97646,0.99104,0.95388,0.30034,0.20141,0.9597,0.0085,0.0011486,0.0011486,0.0011486
45,1803.15,0.41383,0.28905,0.9821,0.01182,0.97264,0.97254,0.99091,0.95631,0.29828,0.20033,0.95446,0.00886,0.0011288,0.0011288,0.0011288
46,1844.73,0.40932,0.2868,0.97819,0.01138,0.96249,0.97857,0.99055,0.95554,0.29718,0.20418,0.95364,0.00915,0.001109,0.001109,0.001109
47,1885.99,0.41396,0.28601,0.98728,0.01052,0.97645,0.96568,0.99071,0.95336,0.29594,0.20111,0.95713,0.00881,0.0010892,0.0010892,0.0010892
48,1928.08,0.40505,0.28207,0.97927,0.01091,0.96674,0.97555,0.99094,0.95488,0.29216,0.20254,0.95166,0.00854,0.0010694,0.0010694,0.0010694
49,1970.39,0.40433,0.28298,0.97734,0.01146,0.97825,0.96058,0.99092,0.9565,0.29351,0.19908,0.95637,0.00847,0.0010496,0.0010496,0.0010496
50,2012.71,0.41129,0.28489,0.9779,0.01154,0.95977,0.97864,0.99043,0.9542,0.28961,0.20575,0.95149,0.00701,0.0010298,0.0010298,0.0010298
51,2057.14,0.39778,0.27713,0.96802,0.00973,0.96955,0.97152,0.99066,0.95833,0.28996,0.19971,0.94958,0.00952,0.00101,0.00101,0.00101
52,2099.33,0.40609,0.28048,0.98266,0.00954,0.96814,0.97407,0.9914,0.95782,0.29347,0.19796,0.95099,0.00861,0.0009902,0.0009902,0.0009902
53,2142.43,0.39056,0.27312,0.96502,0.01041,0.96554,0.98308,0.99114,0.95702,0.29003,0.19712,0.95504,0.00768,0.0009704,0.0009704,0.0009704
54,2184.11,0.39785,0.27231,0.97178,0.01008,0.97016,0.96725,0.98979,0.95935,0.28888,0.19616,0.95468,0.00943,0.0009506,0.0009506,0.0009506
55,2224.71,0.39324,0.27086,0.97303,0.0117,0.96667,0.97333,0.99051,0.95831,0.2895,0.19614,0.9567,0.00826,0.0009308,0.0009308,0.0009308
56,2266.54,0.39558,0.27593,0.96986,0.01039,0.96467,0.97884,0.99146,0.95721,0.29107,0.1949,0.95366,0.01014,0.000911,0.000911,0.000911
57,2310.17,0.39462,0.27644,0.96878,0.00989,0.96629,0.97712,0.9912,0.95984,0.28775,0.19414,0.95335,0.00848,0.0008912,0.0008912,0.0008912
